,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
416,Landry Shamet,SG,23,BRK,14,0,17.6,1.6,4.8,.343,1.1,3.5,.306,0.6,1.3,.444,.455,1.0,1.1,.875,0.1,1.4,1.5,1.1,0.7,0.1,0.8,1.1,5.4
417,Pascal Siakam,PF,26,TOR,11,11,35.6,7.2,16.2,.444,1.4,4.8,.283,5.8,11.4,.512,.486,3.2,4.3,.745,2.5,5.8,8.3,4.9,0.9,0.7,2.5,4.1,18.9
418,Chris Silva,PF,24,MIA,6,0,8.8,1.0,1.5,.667,0.2,0.2,1.000,0.8,1.3,.625,.722,1.7,2.0,.833,1.2,1.8,3.0,1.0,0.2,0.3,1.3,2.3,3.8
419,Ben Simmons,PG,24,PHI,12,12,33.0,4.6,9.2,.500,0.1,0.4,.200,4.5,8.8,.514,.505,3.0,4.8,.632,1.2,8.1,9.3,8.0,1.5,1.0,4.2,3.4,12.3
420,Anfernee Simons,SG,21,POR,10,0,10.0,1.3,4.3,.302,1.0,3.2,.313,0.3,1.1,.273,.419,0.4,0.6,.667,0.0,1.7,1.7,0.5,0.1,0.2,0.3,1.0,4.0
421,Deividas Sirvydis,SG,20,DET,2,0,1.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Marcus Smart,PG,26,BOS,11,11,32.5,3.6,10.5,.345,1.9,5.8,.328,1.7,4.7,.365,.435,3.0,4.1,.733,0.5,2.1,2.6,5.6,1.5,0.5,1.5,2.5,12.2
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Dennis Smith Jr.,PG,23,NYK,3,0,9.3,0.7,3.3,.200,0.0,1.3,.000,0.7,2.0,.333,.200,1.7,2.0,.833,0.0,0.7,0.7,1.0,1.0,0.0,0.3,1.3,3.0
425,Ish Smith,PG,32,WAS,11,0,19.3,2.5,6.5,.394,0.4,1.1,.333,2.2,5.4,.407,.423,0.5,1.2,.385,0.5,2.8,3.4,4.0,0.6,0.3,1.0,1.1,5.9
426,Jalen Smith,PF,20,PHO,2,0,10.0,1.0,2.5,.400,0.0,0.5,.000,1.0,2.0,.500,.400,0.0,1.0,.000,1.5,1.0,2.5,0.5,0.0,0.5,0.5,0.5,2.0
427,Tony Snell,SG,29,ATL,3,0,9.3,0.7,3.0,.222,0.7,2.3,.286,0.0,0.7,.000,.333,0.0,0.0,,0.0,1.3,1.3,1.0,0.0,0.0,0.0,1.0,2.0
428,Cassius Stanley,SG,21,IND,6,0,3.3,0.3,1.0,.333,0.2,0.3,.500,0.2,0.7,.250,.417,0.7,0.8,.800,0.2,0.2,0.3,0.0,0.0,0.2,0.2,1.0,1.5
429,Lamar Stevens,PF,23,CLE,9,0,14.2,1.7,4.1,.405,0.1,0.8,.143,1.6,3.3,.467,.419,0.9,1.1,.800,0.3,1.9,2.2,0.8,0.4,0.0,0.3,0.7,4.3
430,Isaiah Stewart,C,19,DET,10,0,17.1,2.1,4.3,.488,0.0,0.1,.000,2.1,4.2,.500,.488,0.6,0.9,.667,3.3,2.4,5.7,0.8,0.4,0.6,0.6,2.8,4.8
431,Max Strus,SF,24,MIA,4,0,18.0,2.5,5.0,.500,1.3,3.8,.333,1.3,1.3,1.000,.625,0.3,0.8,.333,0.3,1.8,2.0,1.0,0.3,0.0,0.0,1.3,6.5
432,Edmond Sumner,SG,25,IND,6,3,15.2,2.8,5.3,.531,0.5,2.0,.250,2.3,3.3,.700,.578,0.5,1.0,.500,0.8,1.3,2.2,1.0,1.2,0.0,1.0,1.3,6.7
433,Jae'Sean Tate,SF,25,HOU,11,2,24.7,3.3,6.7,.486,0.4,1.5,.250,2.9,5.3,.552,.514,1.4,2.1,.652,1.4,2.9,4.3,2.4,0.7,0.7,1.3,2.8,8.3
434,Jayson Tatum,SF,22,BOS,10,10,34.6,10.1,21.3,.474,3.5,8.0,.438,6.6,13.3,.496,.556,3.2,3.6,.889,0.4,6.7,7.1,3.8,1.0,0.8,2.4,1.8,26.9
435,Jeff Teague,PG,32,BOS,10,2,19.4,2.3,6.8,.338,0.9,1.9,.474,1.4,4.9,.286,.404,1.8,2.1,.857,0.4,2.0,2.4,2.5,1.5,0.2,1.0,1.5,7.3
436,Garrett Temple,SG,34,CHI,12,1,26.2,3.5,7.1,.494,1.8,4.3,.431,1.7,2.8,.588,.624,0.8,1.1,.769,0.5,2.1,2.6,1.9,1.0,0.3,1.1,2.8,9.7
437,Tyrell Terry,PG,20,DAL,7,0,5.1,0.6,1.4,.400,0.0,0.7,.000,0.6,0.7,.800,.400,0.0,0.1,.000,0.0,0.4,0.4,0.6,0.6,0.0,0.1,0.1,1.1
